rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
3462,Victoria MonÃ©t,63XBtGSEZINSyXylZxEUbv,"4,156,952","17,339","11,439,373"
3463,Psirico,20L3gYREq24KddkFreyiNv,"4,156,575","-18,050","4,215,197"
3464,Big Boy,5bVQN1TENxjVjWXNHHpflG,"4,154,665","29,506","4,313,523"
3465,Gordo,4Ge9GwmWnOQsohwPTrXyHc,"4,154,451","32,507","8,713,892"
3466,Shanti Dope,6ogIjp0fsbUxlqy9q2rvrT,"4,151,713",400,"4,566,977"
3467,Vineeth Sreenivasan,2uocTdMBXjTsS7QmAj7src,"4,151,382","-28,738","4,452,396"
3468,Kyle Richh,0hF6lbAjRsq4svrQUr5sgU,"4,151,002","12,912","8,167,067"
3469,Rana Sotal,0AS5y6FY1c4JRl0oWAYu2y,"4,147,670","-41,843","5,021,386"
3470,CHANMINA,2vjeuQwzSP5ErC1S41gONX,"4,144,024","7,401","4,145,912"
3471,Rakhim,78G8FdUykcn02tsgMLi3q0,"4,143,914",-622,"4,221,323"
3472,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,"4,142,218","22,661","5,747,080"
3473,DJ Hyago,0QywoHqU6vOuwNwCgapgPf,"4,141,249","23,590","4,141,249"
3474,Burak Yeter,4ON1ruy5ijE7ZPQthbrkgI,"4,140,863","9,898","4,140,863"
3475,DoÄu Swag,0uHvlWnhRpaomF4e9IZHLy,"4,140,033","-25,728","5,847,713"
3476,fhop music,0V208yTQ5OGOUBZuszu6Fn,"4,138,585","2,617","5,733,351"
3477,Sathyaprakash,4sdcjfLzvLC1IUYFwCAWHn,"4,137,793","2,553","4,161,271"
3478,Vasundhara Das,0myVJmNOHZ7v7g8JVWGw8H,"4,136,829","-27,594","4,386,996"
3479,Ada Band,2owBL6a90fnWufVtP70K8f,"4,136,362","-8,275","4,228,451"
3480,Bootsy Collins,5K0rbdBrs2tNXe5LeWMATT,"4,135,562","-31,903","4,847,050"
3481,VV Prassanna,5FHIw6p4HE35RB4PP76uF6,"4,135,362","-12,641","4,293,080"
3482,KYLE,4qBgvVog0wzW75IQ48mU7v,"4,132,526",-212,"5,570,937"
3483,Marshall Jefferson,2Di8r9df6xjyj6CVOqbGVz,"4,131,048","13,768","4,847,370"
3484,4batz,5fi7lIgJGH3RgUpJYcffQ7,"4,130,949","-90,596","17,480,395"
3485,MarÃ­a JosÃ©,1dJyh390MvfYPuNbhnbSDs,"4,130,033","19,551","4,797,982"
3486,Gzuz,5eioJDe26lOqkAMbuhzZYs,"4,129,937","5,347","4,423,556"
3487,Valen,4OpKA1Qx8VYnSmrhKQ4zJz,"4,129,806","-36,324","5,771,867"
3488,Umair,1n6pjRJkTY5v8RtUCAv5pi,"4,129,596","-36,196","6,525,959"
3489,Ziva Magnolya,2wZWkw5jo8P4NVonVanxYd,"4,127,518","-21,248","6,381,695"
3490,Yaviah,0Y30TbA4p8SAfCzy2AFBa8,"4,125,625","-54,223","4,264,150"
3491,Erasure,0z5DFXmhT4ZNzWElsM7V89,"4,124,638","7,033","4,350,925"
3492,2hollis,72NhFAGG5Pt91VbheJeEPG,"4,124,572","-3,136","4,683,893"
3493,Philip Bailey,6ZNeppgfBLPUyugks9Yn1u,"4,123,784","5,614","4,749,712"
3494,Andrew Underberg,4zXroEby35IgWPERRcW4Ay,"4,122,934","-10,231","5,680,076"
3495,farofinat beats,2uCcj0lTsdhbdZfVSQ7OTM,"4,121,244","-8,830","5,618,352"
3496,Jalen Ngonda,2kEDso93O2hDgCbnuiSkkZ,"4,118,811","8,399","4,903,591"
3497,Ranina Reddy,5wr6cv6sLD88vQKkMy8w2H,"4,117,507","-23,777","4,253,366"
3498,HOLY PRIEST,5UG2ipdnA4vk8Eevkf1s06,"4,116,660","22,983","4,183,111"
3499,Maan Panu,3lRhKw5gfTNnpnPFFE7TfQ,"4,113,980","-17,824","8,040,917"
3500,Tyler Braden,63wjVVauFUQ4gBw6QXTT5N,"4,111,228","-5,556","5,600,878"
3501,Eazy-E,7B4hKK0S9QYnaoqa9OuwgX,"4,110,926",474,"5,160,796"
3502,Sugarcane,61OfH8eB8aJIc9T98cecNT,"4,108,857","28,509","4,108,857"
3503,Leony,2NpPlwwDVYR5dIj0F31EcC,"4,108,152","13,390","9,789,941"
3504,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,"4,108,039","5,016","7,414,206"
