artist_spotify_id,artist,song_title,song_image_url,release_year_songs,genre,language,streams_songs,weekly_gain_songs
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Blinding Lights,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36,2019,Pop,English,5315750618,1484380
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Shape Of You,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,2017,Pop,English,4806656937,1606725
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,Sweater Weather,https://i.scdn.co/image/ab67616d000048518265a736a1eb838ad5a0b921,2012,Rock,English,4438744698,2427660
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Starboy,https://i.scdn.co/image/ab67616d000048514718e2b124f79258be7bc452,2016,R&B,English,4409715129,1850530
6KImCVD70vtIoJWnq6nGn3,Harry Styles,As It Was,https://i.scdn.co/image/ab67616d0000485182ce362511fb3d9dda6578ee,2022,Pop,English,4289600461,2064955
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,Someone You Loved,https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2,2018,Pop,English,4250379792,1038616
246dkjvS1zLTtiykXe5h60,Post Malone,Sunflower,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,2018,Pop,English,4151976818,1264097
3TVXtAsR1Inumwj472S9r4,Drake,One Dance,https://i.scdn.co/image/ab67616d000048519416ed64daf84936d89e671c,2016,Reggae / Dancehall,English,4087891973,2094851
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Perfect,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,2017,Pop,English,3864321454,1428694
2tIP7SsRs7vjIcLrU85W8J,The Kid Laroi,Stay,https://i.scdn.co/image/ab67616d00004851b4d59e6fa7e5e7cbc57ac33a,2021,Pop,English,3821783450,914825
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Believer,https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a,2017,Rock,English,3770275409,1072052
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,https://i.scdn.co/image/ab67616d000048519e495fb707973f3390850eea,2020,Alternative,English,3683571226,1089290
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Lovely,https://i.scdn.co/image/ab67616d000048519c05fec02bd9b81ee1246b2f,2018,Pop,English,3677374119,1162661
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,I Wanna Be Yours,https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163,2013,Alternative,English,3649788805,2014789
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,The Night We Met,https://i.scdn.co/image/ab67616d0000485117875a0610c23d8946454583,2015,Folk,English,3635036797,1707509
