rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
29,Sia,5WUlDfRSoLAfcVSX1WnrxN,63865211,-63195,100120416
30,Post Malone,246dkjvS1zLTtiykXe5h60,63648626,-91340,98466468
31,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,62939519,-14361,67640541
32,Harry Styles,6KImCVD70vtIoJWnq6nGn3,62090457,653612,67419483
33,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,61887844,-39017,62143559
34,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,61145265,-286772,61676420
35,sombr,4G9NDjRyZFDlJKMRL8hx3S,59587528,-136494,60443241
36,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,59170586,-95477,75557671
37,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,59020980,10412,60998566
38,Sean Paul,3Isy6kedDrgPYoTS1dazA9,58000210,125190,58000210
39,Adele,4dpARuHxo51G3z768sgnrY,57597377,32683,62764213
40,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,57343234,131495,61377432
41,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,57138504,-4500,76357864
42,RAYE,5KKpBU5eC2tJDzf0wmlRp2,55217827,6966,55532106
43,Beyonc̩,6vWDO969PvNqNYHIOW5v0m,55190164,27815,78122541
44,Future,1RyvyyTE3xzB2ZywiAwp0i,54832092,-114382,65628348
45,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,54664878,32090,56618863
46,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,53681767,-237196,56255270
47,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,53657019,-95633,62801774
48,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,53626343,16364,60369972
49,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,53439114,43570,84140935
50,KAROL G,790FomKkXshlbRYZFtlgla,53423827,-69818,63139763
51,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,53055218,-236461,53667513
52,Alex Warren,0fTSzq9jAh4c36UVb4V7CB,52740135,74586,55736704
53,Shreya Ghoshal,0oOet2f43PA68X5RxKobEy,51784074,-258968,53470893
54,Sam Smith,2wY79sveU1sp5g7SokKOiI,51507040,-100435,73972799
55,Djo,5p9HO3XC5P3BLxJs5Mtrhm,51417132,-175255,64626108
56,Halsey,26VFTg2z8YR0cCuwLzESi2,51195942,-97582,54839229
57,Queen,1dfeR4HaWDbWqFHLkxsg1d,51046332,9231,66924652
58,Khalid,6LuN9FCkKOj5PcnpouEgny,50414530,76001,55253946
59,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,50170035,76850,51309236
60,Marshmello,64KEffDW9EtZ1y2vBYgq8T,48901830,69937,68947085
61,DJ Snake,540vIaP2JwjQb9dm3aArA4,48486143,-92274,52365207
62,Tate McRae,45dkTj5sMRSjrmBSBeiHym,48436196,-96317,59945963
63,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,48026595,-119108,52157060
64,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,47921489,-95891,48285428
65,Justin Timberlake,31TPClRtHm23RisEBtV3X7,47921078,32773,49088703
66,Don Omar,33ScadVnbm2X8kkUqOkC6Z,47514961,-1119,47516080
67,Pritam,1wRPtKGflJrBx9BmLsSwlU,47481659,-211745,49672241
68,Maluma,1r4hJ1h58CWwUQe3MxPuau,47243484,86243,47243484
69,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,47143966,24903,64128148
70,Lil Wayne,55Aa2cqylxrFIXC767Z865,47096109,-74540,52904090
71,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,46886025,-144828,48551963
